"","Sample","Dataset","Sea","Sequencing","Date","Year","Month","Depth_type","Size","Depth","Latitude","Longitude","T","S","O2","pH","NO3","NO2","NH4","PO4","SIOH4","Chla","Depth_type2"
"1143","MGE18_42_L2_5_02_DNA","MOOSE","Mediterranean Sea","Illumina","02/06/2018",2018,"June","SRF","0.2-3.0",5,42.4367,3.5323,19.4477,37.68415,NA,NA,NA,NA,NA,NA,NA,NA,"SRF"
"1144","MGE18_42_L2_5_3_DNA","MOOSE","Mediterranean Sea","Illumina","02/06/2018",2018,"June","SRF","3.0-20",5,42.4367,3.5323,19.4477,37.68415,NA,NA,NA,NA,NA,NA,NA,NA,"SRF"
"1145","MGE18_42_L2_DCM_02_DNA","MOOSE","Mediterranean Sea","Illumina","02/06/2018",2018,"June","DCM","0.2-3.0",40,42.4367,3.5323,14.30505,38.05275,NA,NA,NA,NA,NA,NA,NA,NA,"DCM"
"1146","MGE18_42_L2_DCM_3_DNA","MOOSE","Mediterranean Sea","Illumina","02/06/2018",2018,"June","DCM","3.0-20",40,42.4367,3.5323,14.30505,38.05275,NA,NA,NA,NA,NA,NA,NA,NA,"DCM"
"1147","MGE18_42_L2_DEEP_02_DNA","MOOSE","Mediterranean Sea","Illumina","02/06/2018",2018,"June","DEEP","0.2-3.0",990,42.4367,3.5323,13.2019,38.5159,NA,NA,NA,NA,NA,NA,NA,NA,"MESO"
"1148","MGE18_42_L2_DEEP_3_DNA","MOOSE","Mediterranean Sea","Illumina","02/06/2018",2018,"June","DEEP","3.0-20",990,42.4367,3.5323,13.2019,38.5159,NA,NA,NA,NA,NA,NA,NA,NA,"MESO"
"1149","MGE18_50_L2_5_02_DNA","MOOSE","Mediterranean Sea","Illumina","03/06/2018",2018,"June","SRF","0.2-3.0",5,40.7678,4.093,19.98995,38.0674,NA,NA,NA,NA,0.053002197,NA,NA,0.145735774,"SRF"
"1150","MGE18_50_L2_5_3_DNA","MOOSE","Mediterranean Sea","Illumina","03/06/2018",2018,"June","SRF","3.0-20",5,40.7678,4.093,19.98995,38.0674,NA,NA,NA,NA,0.053002197,NA,NA,0.145735774,"SRF"
"1151","MGE18_50_L2_DCM_02_DNA","MOOSE","Mediterranean Sea","Illumina","03/06/2018",2018,"June","DCM","0.2-3.0",60,40.7678,4.093,13.63275,38.3446,NA,NA,NA,NA,0.01291287,NA,NA,0.402156946,"DCM"
"1152","MGE18_50_L2_DCM_3_DNA","MOOSE","Mediterranean Sea","Illumina","03/06/2018",2018,"June","DCM","3.0-20",60,40.7678,4.093,13.63275,38.3446,NA,NA,NA,NA,0.01291287,NA,NA,0.402156946,"DCM"
"1153","MGE18_50_L2_DEEP_02_DNA","MOOSE","Mediterranean Sea","Illumina","03/06/2018",2018,"June","DEEP","0.2-3.0",2000,40.7678,4.093,13.25635,38.4944,NA,NA,NA,NA,NA,NA,NA,NA,"BATHY"
"1154","MGE18_50_L2_DEEP_3_DNA","MOOSE","Mediterranean Sea","Illumina","03/06/2018",2018,"June","DEEP","3.0-20",2000,40.7678,4.093,13.25635,38.4944,NA,NA,NA,NA,NA,NA,NA,NA,"BATHY"
"1155","MGE18_61_L2_5_02_DNA","MOOSE","Mediterranean Sea","Illumina","05/06/2018",2018,"June","SRF","0.2-3.0",5,43.0045,5.199,21.21815,37.97425,NA,NA,0.021,0.009,0.010690096,0.086,2.539,0.132822478,"SRF"
"1156","MGE18_61_L2_5_3_DNA","MOOSE","Mediterranean Sea","Illumina","05/06/2018",2018,"June","SRF","3.0-20",5,43.0045,5.199,21.21815,37.97425,NA,NA,0.021,0.009,0.010690096,0.086,2.539,0.132822478,"SRF"
"1157","MGE18_61_L2_DCM_02_DNA","MOOSE","Mediterranean Sea","Illumina","05/06/2018",2018,"June","DCM","0.2-3.0",70,43.0045,5.199,14.36415,38.2307,NA,NA,0.667,0.109,0.027488817,0.096,1.238,0.57556407,"DCM"
"1158","MGE18_61_L2_DCM_3_DNA","MOOSE","Mediterranean Sea","Illumina","05/06/2018",2018,"June","DCM","3.0-20",70,43.0045,5.199,14.36415,38.2307,NA,NA,0.667,0.109,0.027488817,0.096,1.238,0.57556407,"DCM"
"1159","MGE18_61_L2_DEEP_02_DNA","MOOSE","Mediterranean Sea","Illumina","05/06/2018",2018,"June","DEEP","0.2-3.0",1120,43.0045,5.199,13.20535,38.5126,NA,NA,NA,NA,NA,NA,NA,NA,"BATHY"
"1160","MGE18_61_L2_DEEP_3_DNA","MOOSE","Mediterranean Sea","Illumina","05/06/2018",2018,"June","DEEP","3.0-20",1120,43.0045,5.199,13.20535,38.5126,NA,NA,NA,NA,NA,NA,NA,NA,"BATHY"
"1161","1","SOLA","Mediterranean Sea","Illumina","26/03/2007",2007,"March","SRF","3.0-20",3,42.29,3.8,12.34,38.099,6.41,7.99,0.47,0.13,0.87,0,0.08,0.86,"SRF"
"1162","3","SOLA","Mediterranean Sea","Illumina","16/04/2007",2007,"April","SRF","3.0-20",3,42.29,3.8,14.35,36.255,6.23,8.12,2.11,0.14,1.27,0.01,0.77,2.1,"SRF"
"1163","4","SOLA","Mediterranean Sea","Illumina","23/04/2007",2007,"April","SRF","3.0-20",3,42.29,3.8,15.31,36.747,6.56,8.19,0.49,0.06,0.3,0.01,1.18,0.86,"SRF"
"1164","5","SOLA","Mediterranean Sea","Illumina","02/05/2007",2007,"May","SRF","3.0-20",3,42.29,3.8,17.74,36.494,6.47,8.19,0.72,0.06,1.26,0,0.12,0.3,"SRF"
"1165","6","SOLA","Mediterranean Sea","Illumina","09/05/2007",2007,"May","SRF","3.0-20",3,42.29,3.8,15.92,36.838,6.04,8.14,0.7,0.07,0.26,0,0.39,0.38,"SRF"
"1166","8","SOLA","Mediterranean Sea","Illumina","21/05/2007",2007,"May","SRF","3.0-20",3,42.29,3.8,16.73,37.432,6.22,8.03,0,0,0.13,0,0.06,0.55,"SRF"
"1167","9","SOLA","Mediterranean Sea","Illumina","28/05/2007",2007,"May","SRF","3.0-20",3,42.29,3.8,16.2,37.734,5.73,8.15,0.3,0.03,1.09,0.02,0.49,0.33,"SRF"
"1168","10","SOLA","Mediterranean Sea","Illumina","04/06/2007",2007,"June","SRF","3.0-20",3,42.29,3.8,16.45,37.802,5.91,8.11,0.06,0,1.31,0.02,0.49,0.33,"SRF"
"1169","11","SOLA","Mediterranean Sea","Illumina","02/07/2007",2007,"July","SRF","3.0-20",3,42.29,3.8,20.18,37.359,5.62,8.04,0.03,0,0.41,0,NA,0.08,"SRF"
"1170","12","SOLA","Mediterranean Sea","Illumina","03/09/2007",2007,"September","SRF","3.0-20",3,42.29,3.8,19.21,38.019,4.97,8.09,0.16,0,0.29,0.04,1.24,NA,"SRF"
"1171","2","SOLA","Mediterranean Sea","Illumina","04/10/2007",2007,"October","SRF","3.0-20",3,42.29,3.8,13.31,37.773,6.1,8.12,0.57,0.12,0.38,0,0.41,0.43,"SRF"
"1172","13","SOLA","Mediterranean Sea","Illumina","10/03/2008",2008,"March","SRF","3.0-20",3,42.29,3.8,11.17,37.68,6.77,8.35,1.27,0.24,0.09,0.02,0.88,0.63,"SRF"
"1173","14","SOLA","Mediterranean Sea","Illumina","02/04/2008",2008,"April","SRF","3.0-20",3,42.29,3.8,12,38.116,6.52,8.23,0.21,0.03,0.05,0.06,0.66,2.61,"SRF"
"1174","15","SOLA","Mediterranean Sea","Illumina","19/05/2008",2008,"May","SRF","3.0-20",3,42.29,3.8,17.31,35.621,5.87,8.21,2.87,0.14,0.29,0.03,1.21,0.44,"SRF"
"1175","16","SOLA","Mediterranean Sea","Illumina","09/06/2008",2008,"June","SRF","3.0-20",3,42.29,3.8,17.76,37.004,5.92,8.15,0.01,0.03,0.05,0.03,0.71,0.65,"SRF"
"1176","17","SOLA","Mediterranean Sea","Illumina","15/07/2008",2008,"July","SRF","3.0-20",3,42.29,3.8,21.24,37.623,5.74,8.1,0.12,0.03,0.05,0.03,1.29,0.11,"SRF"
"1177","18","SOLA","Mediterranean Sea","Illumina","18/08/2008",2008,"August","SRF","3.0-20",3,42.29,3.8,21.42,37.884,5.79,8.13,0.12,0.03,0.05,0.03,0.67,0.05,"SRF"
"1178","19","SOLA","Mediterranean Sea","Illumina","10/09/2008",2008,"September","SRF","3.0-20",3,42.29,3.8,19.21,37.522,5.75,8.06,0.21,0.04,0.23,0.04,1.28,0.39,"SRF"
"1179","20","SOLA","Mediterranean Sea","Illumina","08/10/2008",2008,"October","SRF","3.0-20",3,42.29,3.8,17.56,37.509,6.01,8.18,0.19,0.03,0.09,0.02,1.45,0.28,"SRF"
"1180","21","SOLA","Mediterranean Sea","Illumina","12/11/2008",2008,"November","SRF","3.0-20",3,42.29,3.8,16.23,37.95,5.75,8.29,0.52,0.13,1.19,0.02,1.63,0.41,"SRF"
"1181","22","SOLA","Mediterranean Sea","Illumina","05/01/2009",2009,"January","SRF","3.0-20",3,42.29,3.8,11.05,36.385,5.94,8.24,5.73,0.8,0.11,0.07,6.27,1.07,"SRF"
"1182","23","SOLA","Mediterranean Sea","Illumina","09/02/2009",2009,"February","SRF","3.0-20",3,42.29,3.8,10.56,36.881,6.31,8.21,3.31,0.29,0.37,0.03,3.29,1.03,"SRF"
"1183","24","SOLA","Mediterranean Sea","Illumina","23/02/2009",2009,"February","SRF","3.0-20",3,42.29,3.8,11.3,37.63,6.11,8.04,1.57,0.31,0.19,0.02,1.84,0.21,"SRF"
"1184","25","SOLA","Mediterranean Sea","Illumina","09/03/2009",2009,"March","SRF","3.0-20",3,42.29,3.8,10.82,37.614,5.78,8.03,1.8,0.39,0.22,0.02,2.23,0.36,"SRF"
"1185","26","SOLA","Mediterranean Sea","Illumina","23/03/2009",2009,"March","SRF","3.0-20",3,42.29,3.8,12.06,37.827,6.24,8,1.54,0.09,0.39,0.08,1.4,0.76,"SRF"
"1186","27","SOLA","Mediterranean Sea","Illumina","06/04/2009",2009,"April","SRF","3.0-20",3,42.29,3.8,11.99,37.821,6.06,7.91,1.96,0.16,0.63,0.09,1.67,0.3,"SRF"
"1187","28","SOLA","Mediterranean Sea","Illumina","20/04/2009",2009,"April","SRF","3.0-20",3,42.29,3.8,12.82,36.675,NA,8.06,1.29,0.08,0.51,0.09,2.1,1.36,"SRF"
"1188","29","SOLA","Mediterranean Sea","Illumina","04/05/2009",2009,"May","SRF","3.0-20",3,42.29,3.8,13.94,37.404,5.99,8.04,1.19,0.09,0.61,0.04,0.72,0.29,"SRF"
"1189","30","SOLA","Mediterranean Sea","Illumina","18/05/2009",2009,"May","SRF","3.0-20",3,42.29,3.8,16.31,37.143,5.99,8.12,0.13,0.02,0.34,0.05,0.98,0.65,"SRF"
"1190","32","SOLA","Mediterranean Sea","Illumina","01/07/2009",2009,"July","SRF","3.0-20",3,42.29,3.8,20.53,37.422,5.48,8.12,0.21,0.02,0.55,0.03,0.64,0.15,"SRF"
"1191","33","SOLA","Mediterranean Sea","Illumina","16/07/2009",2009,"July","SRF","3.0-20",3,42.29,3.8,20.84,37.715,5.3,8.11,0.29,0.02,0.59,0.03,0.94,0.13,"SRF"
"1192","34","SOLA","Mediterranean Sea","Illumina","27/07/2009",2009,"July","SRF","3.0-20",3,42.29,3.8,21.22,37.804,5.25,8.18,0.36,0.02,1.14,0.03,0.78,0.13,"SRF"
"1193","35","SOLA","Mediterranean Sea","Illumina","24/08/2009",2009,"August","SRF","3.0-20",3,42.29,3.8,24.32,37.833,4.73,8.07,0.02,0.02,0.67,0.03,0.53,NA,"SRF"
"1194","36","SOLA","Mediterranean Sea","Illumina","09/09/2009",2009,"September","SRF","3.0-20",3,42.29,3.8,22.56,38.019,5.11,8.09,0.02,0.02,0.61,0.03,0.56,0.07,"SRF"
"1195","37","SOLA","Mediterranean Sea","Illumina","21/09/2009",2009,"September","SRF","3.0-20",3,42.29,3.8,20.18,38.039,5.32,7.94,0.02,0.02,0.7,0.03,0.86,0.15,"SRF"
"1196","38","SOLA","Mediterranean Sea","Illumina","13/10/2009",2009,"October","SRF","3.0-20",3,42.29,3.8,20.84,38.132,5.1,7.99,0.05,0.02,0.29,0.03,1.18,0.3,"SRF"
"1197","39","SOLA","Mediterranean Sea","Illumina","26/10/2009",2009,"October","SRF","3.0-20",3,42.29,3.8,17.53,38.203,5.32,7.97,0.05,0.03,0.34,0.03,1.72,0.48,"SRF"
"1198","40","SOLA","Mediterranean Sea","Illumina","16/11/2009",2009,"November","SRF","3.0-20",3,42.29,3.8,15.79,38.185,5.34,7.95,0.26,0.09,0.23,0.03,1.53,0.29,"SRF"
"1199","41","SOLA","Mediterranean Sea","Illumina","30/11/2009",2009,"November","SRF","3.0-20",3,42.29,3.8,15.87,38.022,5.43,7.93,0.25,0.04,0.17,0.03,0.68,0.52,"SRF"
"1200","42","SOLA","Mediterranean Sea","Illumina","16/12/2009",2009,"December","SRF","3.0-20",3,42.29,3.8,15.87,37.991,5.38,8,0.22,0.04,0.19,0.03,0.61,0.32,"SRF"
"1201","43","SOLA","Mediterranean Sea","Illumina","04/01/2010",2010,"January","SRF","3.0-20",3,42.29,3.8,12.54,38.154,5.94,7.91,0.59,0.16,0.22,0.03,0.5,0.94,"SRF"
"1202","44","SOLA","Mediterranean Sea","Illumina","11/01/2010",2010,"January","SRF","3.0-20",3,42.29,3.8,11.78,38.006,5.98,7.76,1.08,0.29,0.15,0.03,1.03,0.24,"SRF"
"1203","45","SOLA","Mediterranean Sea","Illumina","01/02/2010",2010,"February","SRF","3.0-20",3,42.29,3.8,10.75,37.608,6.16,8.2,2.55,0.38,0.33,0.03,2.33,0.48,"SRF"
"1204","46","SOLA","Mediterranean Sea","Illumina","15/02/2010",2010,"February","SRF","3.0-20",3,42.29,3.8,8.53,37.474,6.59,8.25,1.74,0.26,0.19,0.03,1.32,1.54,"SRF"
"1205","47","SOLA","Mediterranean Sea","Illumina","03/03/2010",2010,"March","SRF","3.0-20",3,42.29,3.8,10.76,36.31,6.31,8.21,3.59,0.19,0.46,0.03,2.81,1.13,"SRF"
"1206","49","SOLA","Mediterranean Sea","Illumina","15/03/2010",2010,"March","SRF","3.0-20",3,42.29,3.8,10.09,36.895,6.33,8.24,3.62,0.28,0.4,0.01,2,1.34,"SRF"
"1207","50","SOLA","Mediterranean Sea","Illumina","30/03/2010",2010,"March","SRF","3.0-20",3,42.29,3.8,12.07,37.462,6.49,8.27,1.63,0.14,0.21,0.04,2.36,0.8,"SRF"
"1208","51","SOLA","Mediterranean Sea","Illumina","26/04/2010",2010,"April","SRF","3.0-20",3,42.29,3.8,14.66,37.249,5.95,8.24,0.6,0.07,0.25,0.03,0.96,0.39,"SRF"
"1209","52","SOLA","Mediterranean Sea","Illumina","07/05/2010",2010,"May","SRF","3.0-20",3,42.29,3.8,15.87,39.99,5.82,8.26,0.39,0.06,0.11,0.05,0.71,0.86,"SRF"
"1210","53","SOLA","Mediterranean Sea","Illumina","10/05/2010",2010,"May","SRF","3.0-20",3,42.29,3.8,14.05,37.331,5.88,8.24,NA,0.14,NA,0.04,2.62,0.4,"SRF"
"1211","54","SOLA","Mediterranean Sea","Illumina","26/05/2010",2010,"May","SRF","3.0-20",3,42.29,3.8,16.19,37.115,6.3,8.26,0.07,0.01,0.01,0.06,1.29,0.33,"SRF"
"1212","55","SOLA","Mediterranean Sea","Illumina","07/06/2010",2010,"June","SRF","3.0-20",3,42.29,3.8,17.63,37.444,5.69,8.23,0.1,0.02,NA,0.02,2.2,0.16,"SRF"
"1213","56","SOLA","Mediterranean Sea","Illumina","05/07/2010",2010,"July","SRF","3.0-20",3,42.29,3.8,19.06,37.538,5.32,8.22,0.06,0.01,0.01,0.01,1.06,0.14,"SRF"
"1214","57","SOLA","Mediterranean Sea","Illumina","19/07/2010",2010,"July","SRF","3.0-20",3,42.29,3.8,22.57,37.518,4.93,8.23,0.07,0.01,0.01,0.01,2.59,0.06,"SRF"
"1215","58","SOLA","Mediterranean Sea","Illumina","02/08/2010",2010,"August","SRF","3.0-20",3,42.29,3.8,20.98,37.76,5.11,8.18,0.06,0.01,0.01,0.01,1.94,0.09,"SRF"
"1216","59","SOLA","Mediterranean Sea","Illumina","23/08/2010",2010,"August","SRF","3.0-20",3,42.29,3.8,20.19,37.88,5.28,8.12,0.05,0.01,0.01,0.01,1.29,0.12,"SRF"
"1217","60","SOLA","Mediterranean Sea","Illumina","13/09/2010",2010,"September","SRF","3.0-20",3,42.29,3.8,19.39,38,5.28,8.25,0.09,0.01,0.03,0.01,1.93,0.14,"SRF"
"1218","61","SOLA","Mediterranean Sea","Illumina","27/10/2010",2010,"October","SRF","3.0-20",3,42.29,3.8,15.4,38.078,NA,8.23,0.6,0.09,0.24,0.1,3.4,0.48,"SRF"
"1219","62","SOLA","Mediterranean Sea","Illumina","15/11/2010",2010,"November","SRF","3.0-20",3,42.29,3.8,14.8,38.056,5.57,8.16,0.6,0.25,0.12,0.03,1.85,0.4,"SRF"
"1220","63","SOLA","Mediterranean Sea","Illumina","06/12/2010",2010,"December","SRF","3.0-20",3,42.29,3.8,14.23,38.126,5.47,8.17,1.06,0.18,0.06,0.01,1.82,0.24,"SRF"
"1221","64","SOLA","Mediterranean Sea","Illumina","03/01/2011",2011,"January","SRF","3.0-20",3,42.29,3.8,11.27,37.617,6.07,8.09,2.06,0.36,0.03,0.07,3.2,0.66,"SRF"
"1222","65","SOLA","Mediterranean Sea","Illumina","17/01/2011",2011,"January","SRF","3.0-20",3,42.29,3.8,11.91,37.301,5.93,8.14,2.98,0.33,0.02,0.09,3.5,0.78,"SRF"
"1223","66","SOLA","Mediterranean Sea","Illumina","07/02/2011",2011,"February","SRF","3.0-20",3,42.29,3.8,10.71,37.443,6.22,8.15,2.28,0.28,0.21,0.07,2.96,1.22,"SRF"
"1224","67","SOLA","Mediterranean Sea","Illumina","21/02/2011",2011,"February","SRF","3.0-20",3,42.29,3.8,11.16,37.59,6.07,8.14,1.61,0.22,0.15,0.03,2.51,0.56,"SRF"
"1225","68","SOLA","Mediterranean Sea","Illumina","09/03/2011",2011,"March","SRF","3.0-20",3,42.29,3.8,12.05,38.107,5.96,8.26,1.43,0.17,0.01,0.01,2.3,0.61,"SRF"
"1226","69","SOLA","Mediterranean Sea","Illumina","21/03/2011",2011,"March","SRF","3.0-20",3,42.29,3.8,12.01,36.648,5.98,8.3,2.98,0.38,0.36,0.06,4.01,0.9,"SRF"
"1227","70","SOLA","Mediterranean Sea","Illumina","28/03/2011",2011,"March","SRF","3.0-20",3,42.29,3.8,12.73,37.205,6.09,8.22,1.84,0.3,0.04,0.03,3.16,1.42,"SRF"
"1228","71","SOLA","Mediterranean Sea","Illumina","26/04/2011",2011,"April","SRF","3.0-20",3,42.29,3.8,15.2,37.126,5.7,8.15,0.47,0.05,0.14,0.01,1.16,1.2,"SRF"
"1229","72","SOLA","Mediterranean Sea","Illumina","09/05/2011",2011,"May","SRF","3.0-20",3,42.29,3.8,17.14,37.423,5.65,8.18,0.06,0.01,0.01,0.02,0.81,0.28,"SRF"
"1230","73","SOLA","Mediterranean Sea","Illumina","23/05/2011",2011,"May","SRF","3.0-20",3,42.29,3.8,18.2,37.591,5.62,8.2,0.06,0.01,0.01,0.01,0.46,0.14,"SRF"
"1231","74","SOLA","Mediterranean Sea","Illumina","07/06/2011",2011,"June","SRF","3.0-20",3,42.29,3.8,18.07,38.107,5.44,8.11,0.03,0.02,0.01,0.01,0.7,0.21,"SRF"
"1232","75","SOLA","Mediterranean Sea","Illumina","27/06/2011",2011,"June","SRF","3.0-20",3,42.29,3.8,19.77,37.793,5.32,8.4,0.08,0.01,0.01,0.01,0.47,0.11,"SRF"
"1233","76","SOLA","Mediterranean Sea","Illumina","11/07/2011",2011,"July","SRF","3.0-20",3,42.29,3.8,20.79,37.888,4.68,8.37,0,0.01,0.01,0.01,0.5,0.04,"SRF"
"1234","77","SOLA","Mediterranean Sea","Illumina","27/07/2011",2011,"July","SRF","3.0-20",3,42.29,3.8,19.65,37.951,4.86,8.11,0.2,0.02,0.02,0.01,0.93,0.09,"SRF"
"1235","78","SOLA","Mediterranean Sea","Illumina","30/08/2011",2011,"August","SRF","3.0-20",3,42.29,3.8,22.43,37.976,5.07,8.22,0.02,0.01,0.01,0.01,0.77,0.13,"SRF"
"1236","79","SOLA","Mediterranean Sea","Illumina","12/09/2011",2011,"September","SRF","3.0-20",3,42.29,3.8,22.18,37.249,4.99,8.2,0.02,0.01,0.01,0.01,0.4,0.12,"SRF"
"1237","80","SOLA","Mediterranean Sea","Illumina","27/09/2011",2011,"September","SRF","3.0-20",3,42.29,3.8,22.04,38.054,5,8.17,0.13,0.01,0.01,0.01,0.77,0.08,"SRF"
"1238","81","SOLA","Mediterranean Sea","Illumina","11/10/2011",2011,"October","SRF","3.0-20",3,42.29,3.8,21.41,38.081,4.99,8.13,0.05,0.01,0.01,0.09,1.04,0.12,"SRF"
"1239","82","SOLA","Mediterranean Sea","Illumina","17/10/2011",2011,"October","SRF","3.0-20",3,42.29,3.8,18.9,38.163,5,8.19,0.08,0.01,0.01,0.07,1.26,0.08,"SRF"
"1240","83","SOLA","Mediterranean Sea","Illumina","07/11/2011",2011,"November","SRF","3.0-20",3,42.29,3.8,17.08,36.688,5.18,8.2,3.29,0.12,0.68,0.15,6.91,0.54,"SRF"
"1241","84","SOLA","Mediterranean Sea","Illumina","23/11/2011",2011,"November","SRF","3.0-20",3,42.29,3.8,16.22,34.294,5.49,8.12,4.49,0.23,0.38,0.36,10.61,1.52,"SRF"
"1242","85","SOLA","Mediterranean Sea","Illumina","06/12/2011",2011,"December","SRF","3.0-20",3,42.29,3.8,16.32,37.806,4.95,8.14,0.23,0.09,0.04,0.04,0.74,1.05,"SRF"
"1243","86","SOLA","Mediterranean Sea","Illumina","03/01/2012",2012,"January","SRF","3.0-20",3,42.29,3.8,13.8,38.132,5.68,8.31,0.61,0.18,0.02,0.03,1.15,0.68,"SRF"
"1244","87","SOLA","Mediterranean Sea","Illumina","16/01/2012",2012,"January","SRF","3.0-20",3,42.29,3.8,13.19,38.153,5.42,8.16,1.55,0.33,0.03,0.05,1.74,0.39,"SRF"
"1245","88","SOLA","Mediterranean Sea","Illumina","31/01/2012",2012,"January","SRF","3.0-20",3,42.29,3.8,11.82,38.043,5.94,8.19,1.59,0.41,0.02,0.04,1.92,0.29,"SRF"
"1246","89","SOLA","Mediterranean Sea","Illumina","21/02/2012",2012,"February","SRF","3.0-20",3,42.29,3.8,10.48,38.155,6.13,8.25,2.28,0.16,0.01,0.04,3.26,0.51,"SRF"
"1247","90","SOLA","Mediterranean Sea","Illumina","07/03/2012",2012,"March","SRF","3.0-20",3,42.29,3.8,10.91,38.197,6.26,8.37,1.06,0.14,0.09,0.05,0.6,0.8,"SRF"
"1248","91","SOLA","Mediterranean Sea","Illumina","13/03/2012",2012,"March","SRF","3.0-20",3,42.29,3.8,11.19,38.194,6.24,8.4,0.53,0.15,0.1,0.02,0.2,0.6,"SRF"
"1249","92","SOLA","Mediterranean Sea","Illumina","04/04/2012",2012,"April","SRF","3.0-20",3,42.29,3.8,13.84,37.946,5.88,8.31,0.43,0.06,0.04,0.03,1.46,0.32,"SRF"
"1250","93","SOLA","Mediterranean Sea","Illumina","19/04/2012",2012,"April","SRF","3.0-20",3,42.29,3.8,13.08,38.08,5.81,8.41,0.37,0.12,0.06,0.04,1.66,0.23,"SRF"
"1251","94","SOLA","Mediterranean Sea","Illumina","23/04/2012",2012,"April","SRF","3.0-20",3,42.29,3.8,13.25,38.23,5.63,8.23,1.07,0.14,0.02,0.06,2.02,0.33,"SRF"
"1252","95","SOLA","Mediterranean Sea","Illumina","09/05/2012",2012,"May","SRF","3.0-20",3,42.29,3.8,15.45,36.614,6.13,8.52,0.94,0.14,0.01,0.05,0.35,1.8,"SRF"
"1253","96","SOLA","Mediterranean Sea","Illumina","25/05/2012",2012,"May","SRF","3.0-20",3,42.29,3.8,15.58,37.808,5.6,8.38,0.28,0.05,0.04,0.02,1.52,0.34,"SRF"
"1254","97","SOLA","Mediterranean Sea","Illumina","07/06/2012",2012,"June","SRF","3.0-20",3,42.29,3.8,19.5,37.642,5.4,8.35,0.23,0.01,0.01,0.03,0.84,0.14,"SRF"
"1255","98","SOLA","Mediterranean Sea","Illumina","11/06/2012",2012,"June","SRF","3.0-20",3,42.29,3.8,19.29,37.416,5.3,8.44,0.31,0.01,0.03,0.05,1.41,0.22,"SRF"
"1257","100","SOLA","Mediterranean Sea","Illumina","25/06/2012",2012,"June","SRF","3.0-20",3,42.29,3.8,20.21,37.804,5.34,8.43,0.04,0.02,0.01,0.05,1.11,0.14,"SRF"
"1259","102","SOLA","Mediterranean Sea","Illumina","06/08/2012",2012,"August","SRF","3.0-20",3,42.29,3.8,21.75,38.008,NA,8.3,0.06,0.01,0.09,0.02,0.95,0.16,"SRF"
"1260","103","SOLA","Mediterranean Sea","Illumina","16/08/2012",2012,"August","SRF","3.0-20",3,42.29,3.8,20.38,38.388,4.74,8.33,0.13,0.01,0.04,0.03,1.98,0.1,"SRF"
"1261","104","SOLA","Mediterranean Sea","Illumina","20/08/2012",2012,"August","SRF","3.0-20",3,42.29,3.8,22.87,38.176,4.72,8.26,0.12,0.01,0.06,0.02,1.15,0.2,"SRF"
"1262","105","SOLA","Mediterranean Sea","Illumina","11/09/2012",2012,"September","SRF","3.0-20",3,42.29,3.8,19.27,37.996,5.1,8.36,0.02,0.01,0.01,0.02,1.22,0.31,"SRF"
"1263","106","SOLA","Mediterranean Sea","Illumina","25/09/2012",2012,"September","SRF","3.0-20",3,42.29,3.8,18.6,37.752,5.14,8.45,0.02,0.03,0.14,0.01,1.6,0.33,"SRF"
"1264","107","SOLA","Mediterranean Sea","Illumina","08/10/2012",2012,"October","SRF","3.0-20",3,42.29,3.8,18.87,37.86,5.17,8.44,0.02,0.01,0.02,0.01,0.38,0.35,"SRF"
"1265","108","SOLA","Mediterranean Sea","Illumina","22/10/2012",2012,"October","SRF","3.0-20",3,42.29,3.8,18.24,38.15,5.07,8.43,0.29,0.07,0.27,0.05,1.47,0.48,"SRF"
"1266","109","SOLA","Mediterranean Sea","Illumina","05/11/2012",2012,"November","SRF","3.0-20",3,42.29,3.8,16.58,37.872,5.32,8.39,0.62,0.11,0.2,0.07,2.02,0.57,"SRF"
"1267","110","SOLA","Mediterranean Sea","Illumina","19/11/2012",2012,"November","SRF","3.0-20",3,42.29,3.8,15.41,37.89,5.51,8.35,0.91,0.18,0.31,0.06,2.12,0.36,"SRF"
"1268","111","SOLA","Mediterranean Sea","Illumina","26/11/2012",2012,"November","SRF","3.0-20",3,42.29,3.8,15.51,37.615,5.12,8.4,1.66,0.22,0.49,0.05,3.37,0.34,"SRF"
"1269","112","SOLA","Mediterranean Sea","Illumina","12/12/2012",2012,"December","SRF","3.0-20",3,42.29,3.8,13.09,38.02,5.85,8.38,1.39,0.24,0.01,0.04,2.53,0.48,"SRF"
"1270","122","SOLA","Mediterranean Sea","Illumina","07/01/2013",2013,"January","SRF","3.0-20",3,42.29,3.8,19.14,37.941,5.63,7.86,0.06,0.01,0.02,0.03,0.75,0.46,"SRF"
"1271","113","SOLA","Mediterranean Sea","Illumina","13/01/2013",2013,"January","SRF","3.0-20",3,42.29,3.8,12.71,37.625,5.89,8.41,0.94,0.27,0.02,0.06,1.39,1.15,"SRF"
"1272","114","SOLA","Mediterranean Sea","Illumina","04/02/2013",2013,"February","SRF","3.0-20",3,42.29,3.8,11.08,38.052,5.94,8.39,1.79,0.3,0.05,0.06,1.86,1.2,"SRF"
"1273","115","SOLA","Mediterranean Sea","Illumina","11/03/2013",2013,"March","SRF","3.0-20",3,42.29,3.8,11.47,34.709,6.41,8.38,5.9,0.24,0.1,0.18,9.98,2.57,"SRF"
